ngram,freq_ron,freq_google,freq_google_norm,google_div_ron,google_norm_div_ron
bloody hell,0.0066093853271645,3.955826527858035e-09,0.0005954337355645,5.985165536649274e-07,0.0900891241909176
let go,0.0019828155981493,6.576839579669321e-08,0.0098995042668156,3.3169194280133485e-05,4.992649985230852
gon na,0.0019828155981493,2.7526109017679298e-12,4.143248901975629e-07,1.388233431458343e-09,0.0002089578529563
ron weasley,0.0016523463317911,5.085907247206064e-11,7.655342643597869e-06,3.0779910660091915e-08,0.0046330133679055
well yeah,0.0013218770654329,2.493782904985788e-10,3.753659217222366e-05,1.8865467676217698e-07,0.0283964319782875
looks like,0.0013218770654329,1.0836520435655905e-07,0.0163112052515052,8.197827709573784e-05,12.339426772763897
harry harry,0.0013218770654329,4.703714380136312e-11,7.080063305783499e-06,3.5583599285731594e-08,0.0053560678908252
yeah well,0.0009914077990746,4.206620805249784e-10,6.331834630599176e-05,4.243078185562317e-07,0.0638671053073158
right harry,0.0009914077990746,1.2162862855163282e-11,1.8307625003290088e-06,1.2268274333242431e-08,0.0018466291086653
oh bloody,0.0009914077990746,7.323318979620545e-11,1.1023110204803016e-05,7.386787744111231e-08,0.0111186438265789
never mind,0.0009914077990746,3.24959067734018e-08,0.0048913062856477,3.277753796544079e-05,4.933697606790438
like hermione,0.0009914077990746,3.535570770803473e-11,5.32176549347389e-06,3.566212384150746e-08,0.0053678874610844
know like,0.0009914077990746,5.035055916077561e-10,7.57880086948557e-05,5.078693067350673e-07,0.076444838103551
hermione hermione,0.0009914077990746,4.861260773307233e-13,7.317203222687986e-08,4.903391700009652e-10,7.380618983951923e-05
help help,0.0009914077990746,3.6630741718237006e-10,5.5136844915189525e-05,3.694820814646494e-07,0.0556146975711259
harry seen,0.0009914077990746,1.674207245000932e-12,2.5200282848093495e-07,1.6887170411244199e-09,0.0002541868529944
harry brilliant,0.0009914077990746,0.0,0.0,0.0,0.0
got one,0.0009914077990746,1.0857127674461571e-08,0.0016342223409392,1.0951222780974524e-05,1.648385601227579
going back,0.0009914077990746,5.3485218434536096e-08,0.0080506319439659,5.394875699430676e-05,8.120404087481033
go harry,0.0009914077990746,5.4028816572110026e-12,8.132454710313813e-07,5.449706631573972e-09,0.000820293598447
get back,0.0009914077990746,9.512825589319893e-08,0.0143187706451066,9.595270077761497e-05,14.44286665736554
come harry,0.0009914077990746,6.6141240136301856e-12,9.955625053800034e-07,6.671446421748893e-09,0.00100419071376
yes sir,0.0006609385327164,7.384477484892812e-09,0.0011115166408479,1.1172714434643794e-05,1.6817246776031238
yeah right,0.0006609385327164,8.14078675362054e-10,0.000122535683327,1.2317010358228949e-06,0.1853964888738097
yeah bit,0.0006609385327164,0.0,0.0,0.0,0.0
wizard chess,0.0006609385327164,3.2083638432552627e-12,4.829251370823205e-07,4.854254494845633e-09,0.0007306657324056
