ngram,freq_ron,freq_google,freq_google_norm,google_div_ron,google_norm_div_ron
harry,0.0254377271225636,2.3121879747647097e-07,0.0002407738027088813,9.08960129819841e-06,0.009465224685711475
hermione,0.013875123885034688,6.19768768217014e-09,6.45380413497717e-06,4.46676205093548e-07,0.0004651348837279975
know,0.013214403700033035,4.882144630143e-06,0.005083896901132765,0.00036945629488607156,0.38472389799322204
think,0.01288404360753221,3.321208115726e-06,0.003458455438478446,0.0002577768452898103,0.26842934903267324
got,0.01288404360753221,2.0572762754159997e-06,0.0021422922247706965,0.00015967628937651874,0.1662748349841256
one,0.011562603237528906,1.9009190669529e-05,0.019794736301171335,0.001644023433047551,1.711961908104161
go,0.011562603237528906,3.612747029468e-06,0.003762042057150403,0.0003124510073771325,0.3253628944855506
bloody,0.010901883052527256,1.237294319952388e-07,0.00012884249106751415,1.134936335301781e-05,0.011818370317011068
well,0.010241162867525603,6.762747651376e-06,0.007042214934744015,0.0006603495851843597,0.6876382131441978
right,0.010241162867525603,4.580547906145e-06,0.004769836838049317,0.0004472683390935779,0.4657514873798478
like,0.009250082590023124,8.055255997622001e-06,0.008388135564706141,0.0008708307108857786,0.9068173697987676
get,0.008919722497522299,4.235431835575e-06,0.004410459012396793,0.00047483896912168616,0.49446146038981825
yeah,0.007928642220019821,2.8766380213176217e-07,0.0002995513699443391,3.62815970438685e-05,0.03778091653422977
oh,0.007598282127518996,1.006742308305e-06,0.0010483454483979763,0.0001324960420538798,0.13797137705655105
bit,0.007598282127518996,7.838256857465037e-07,0.0008162169039793881,0.00010315827611976811,0.10742124210198295
let,0.006937561942517344,2.585406756822e-06,0.0026922474434744647,0.0003726679168047711,0.38806823863796214
hell,0.006937561942517344,3.7774081724061643e-07,0.00039335077423641965,5.444864065654028e-05,0.056698704457792494
come,0.006937561942517344,3.258650846385e-06,0.0033933130201685806,0.00046971124342892355,0.48912183390715686
see,0.005946481665014867,9.936028459900999e-06,0.010346630041432851,0.0016709087860066845,1.7399582853009576
back,0.005946481665014867,5.430138834408e-06,0.005654536701457554,0.0009131683473196118,0.9509045886284453
something,0.0056161215725140405,2.694933288463e-06,0.002806300106184129,0.0004798566508339706,0.49968649537760934
really,0.0056161215725140405,1.775661904028e-06,0.0018490402753764878,0.00031617226961722095,0.32923793609203694
never,0.0056161215725140405,3.247544292238e-06,0.00338174749303086,0.0005782539160355545,0.6021499800826126
brilliant,0.0056161215725140405,1.2836845598105663e-07,0.0001336732204810115,2.2857136250274025e-05,0.023801696376236574
us,0.004955401387512388,4.6879655297829994e-06,0.004881693443150399,0.0009460314439102093,0.9851257368277505
tell,0.004955401387512388,1.732427743558e-06,0.0018040194840874611,0.0003496039186500044,0.36405113188884963
mean,0.004955401387512388,1.640077701926e-06,0.0017078531215480018,0.0003309676802486668,0.3446447599283868
look,0.004955401387512388,2.457906658208e-06,0.0025594784648096825,0.0004960055636263744,0.5165027541985939
going,0.004625041295011562,2.8512627295809997e-06,0.0029690897860204547,0.0006164837344601206,0.6419596273059941
thought,0.004294681202510736,2.783709916545e-06,0.002898745385582965,0.0006481761474909012,0.6749617140122797
mate,0.004294681202510736,1.0053190924081052e-07,0.0001046863418790907,2.3408468405533345e-05,0.024375812066769816
find,0.004294681202510736,2.6696656652460003e-06,0.0027799883106304334,0.0006216213822076649,0.6473095858675633
said,0.00396432111000991,8.725953011474e-06,0.009086548809014576,0.002201121647144317,2.2920819370739274
good,0.00396432111000991,4.715834069126e-06,0.004910713636433944,0.0011895691439370339,1.2387275147904628
anything,0.00396432111000991,1.4105690250510001e-06,0.0014688601093492384,0.0003558160365691149,0.37051996258334546
told,0.0036339610175090847,1.931218677297e-06,0.0020110253572378,0.0005314362669252745,0.5533976142144383
sure,0.0036339610175090847,1.522949113963e-06,0.0015858842512071593,0.0004190879061787274,0.4364065116730974
scabbers,0.0036339610175090847,3.548671228200325e-11,3.695318354314752e-08,9.765298007056713e-09,1.0168844235009776e-05
say,0.0036339610175090847,2.937292845838e-06,0.0030586750553184367,0.0008082895858501479,0.8416917629499008
mad,0.0036339610175090847,1.6658020198978162e-07,0.00017346404845468812,4.583984285664264e-05,0.04773415224294009
course,0.0036339610175090847,2.2422469191549998e-06,0.0023349066911056873,0.0006170255840256531,0.642523868543356
always,0.0036339610175090847,2.533887916826e-06,0.0026385996122757507,0.0006972798840211184,0.7260946387598816
would,0.0033036009250082586,1.4573070143716e-05,0.015175295235253634,0.004411268332502834,4.5935618677112755
thing,0.0033036009250082586,1.629921440808e-06,0.0016972771578401462,0.0004933772201325817,0.5137657956782123
take,0.0033036009250082586,3.992518343598e-06,0.004157507237580355,0.0012085353026071147,1.2584774408155737
ron,0.0033036009250082586,7.697029918818413e-08,8.015105966055934e-05,2.3298909564263337e-05,0.024261725759251316
mum,0.0033036009250082586,8.919265146522165e-08,9.287849474761945e-05,2.6998615598522595e-05,0.02811432036010441
malfoy,0.0033036009250082586,3.753437985264536e-10,3.908546998805617e-07,1.1361656781395752e-07,0.00011831171765384604
kill,0.0033036009250082586,3.822106795069661e-07,0.00039800535140401986,0.00011569517268675866,0.12047621986999682
hey,0.0033036009250082586,1.6302191507789204e-07,0.00016975871705319565,4.934673369407792e-05,0.05138596365200233
could,0.0033036009250082586,9.381474590263e-06,0.009769159500728854,0.0028397723584726105,2.9571245808706244
weasley,0.0029732408325074326,4.4464511854045324e-10,4.6301986350318533e-07,1.495489748691058e-07,0.00015572901409157135
way,0.0029732408325074326,5.826295012949e-06,0.00606706384291387,0.001959577222688514,2.0405558058333653
maybe,0.0029732408325074326,8.342836169453626e-07,0.0008687599848368545,0.0002805973898326237,0.2921929415667954
knew,0.0029732408325074326,1.717951548337e-06,0.0017889450670843584,0.0005778043707573444,0.601681857562706
wand,0.0026428807400066066,1.6018397228153376e-08,1.6680349764021087e-05,6.060961051202535e-06,0.0063114273419614805
two,0.0026428807400066066,9.606628006908001e-06,0.010003617273670218,0.0036349078721138158,3.7851186859249695
still,0.0026428807400066066,3.895903357258e-06,0.004056899683550863,0.0014741124328024962,1.535029417763558
reckon,0.0026428807400066066,3.381898802562966e-08,3.521654138663006e-05,1.2796259594197625e-05,0.013325058847166152
old,0.0026428807400066066,3.053966911812e-06,0.00318017062076841,0.0011555447302568657,1.2032970586332474
mental,0.0026428807400066066,7.192088611049031e-07,0.0007489298202399515,0.00027213065282056777,0.2833763207332917
help,0.0026428807400066066,2.5425608653829998e-06,0.002647630966246787,0.0009620414674392927,1.0017973668536282
dad,0.0026428807400066066,3.562781080102721e-07,0.00037100112890383865,0.00013480672911838674,0.14037755214898998
wicked,0.002312520647505781,8.545996999367666e-08,8.899156201544689e-05,3.695533273869418e-05,0.03848249403153683
want,0.002312520647505781,2.9298873994750002e-06,0.003050963582457941,0.0012669670226015466,1.3193238234428841
turn,0.002312520647505781,1.349785660552e-06,0.0014055649016429812,0.0005836858849272721,0.607806422467615
thanks,0.002312520647505781,4.045579997965534e-07,0.00042127616392100307,0.0001749424379120239,0.18217184974126807
spiders,0.002312520647505781,2.184369699254274e-08,2.2746377230208847e-05,9.445838685203841e-06,0.009836183410834599
sort,0.002312520647505781,6.343941736223957e-07,0.0006606102067240706,0.0002743301662221417,0.2856667279648232
quidditch,0.002312520647505781,3.566670760114601e-10,3.714061708199814e-07,1.542330341552414e-07,0.00016060663986744057
probably,0.002312520647505781,1.2809029659690001e-06,0.001333835662945288,0.0005538990397125948,0.5767886502479125
need,0.002312520647505781,3.808909309641e-06,0.003966310648894569,0.0016470812114690442,1.7151460477434088
na,0.002312520647505781,2.9506817697516284e-07,0.0003072617270052047,0.00012759591024340258,0.1328687496635364
knows,0.002312520647505781,4.777136802762777e-07,0.0004974549675956978,0.00020657704431375609,0.21511374098745395
ginny,0.002312520647505781,1.3416979389240037e-08,1.3971429588213916e-05,5.801885230175656e-06,0.006041645337646219
fine,0.002312520647505781,8.639760237187263e-07,0.0008996794159922268,0.0003736079176852264,0.3890470846012101
dumbledore,0.002312520647505781,1.182633171403364e-09,1.2315049165387528e-06,5.114043728339976e-07,0.000532537911766115
blimey,0.002312520647505781,1.1829712415578266e-09,1.231856957279215e-06,5.115505640279345e-07,0.0005326901442405977
better,0.002312520647505781,2.2674247907e-06,0.002361125026042847,0.0009804992630641288,1.021017921975957
bad,0.002312520647505781,8.89033171982567e-07,0.0009257720388168876,0.00038444334451303295,0.4003302802141027
yes,0.001982160555004955,1.408219331472e-06,0.0014664133158169175,0.0007104466527276242,0.7398055178296351
wizard,0.001982160555004955,5.119280388028765e-08,5.330832179784659e-05,2.5826769557605126e-05,0.02689404834701361
stuff,0.001982160555004955,2.562621405328202e-07,0.0002668520498325126,0.00012928424989880783,0.13462685914050265
snape,0.001982160555004955,1.9778577162452152e-09,2.05959173196515e-06,9.978292178457114e-07,0.0010390640287764184
seen,0.001982160555004955,2.029730938007e-06,0.0021136085895851146,0.0010239992582245316,1.0663155334456906
